CS1,,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Delta,Delta,Delta
,,Colacovirus,Decacovirus,Duvinacovirus,Luchacovirus,Minacovirus,Minunacovirus,Myotacovirus,Nyctacovirus,Pedacovirus,Rhinacovirus,Setracovirus,Sunacovirus,Tegacovirus,Embecovirus,Hibecovirus,Merbecovirus,Nobecovirus,Sarbecovirus,Brangacovirus,Cegacovirus,Igacovirus,Andecovirus,Buldecovirus,Herdecovirus
Alpha,Colacovirus,56,45,20.3,2.67,7.29,17.43,12,7.33,36.07,39,23,-0.6,-7,9.09,-1,-11.71,19.43,2.88,N/A,N/A,N/A,N/A,N/A,N/A
Alpha,Decacovirus,45,48,11.72,5.6,7.77,17.66,3.6,8.27,28.73,35.44,25.33,-1.68,-6.55,7.7,-0.8,-10.38,15.11,2.75,N/A,N/A,N/A,N/A,N/A,N/A
Alpha,Duvinacovirus,20.3,11.72,49.44,9.2,11.99,6.54,26.9,0.87,13.2,14.86,9.77,0.58,10.81,-8.1,1.2,1.83,11.71,11.44,N/A,N/A,N/A,N/A,N/A,N/A
Alpha,Luchacovirus,2.67,5.6,9.2,26.33,0.67,7.29,-1.33,-2.22,7.24,7.13,-0.56,-9.33,4.51,-9.62,-6,-0.72,3.24,-4.96,N/A,N/A,N/A,N/A,N/A,N/A
Alpha,Minacovirus,7.29,7.77,11.99,0.67,24.31,3.71,4,5.1,5.78,8,4.76,-1.2,9.29,-1.02,-1.14,0.06,5.88,2.6,N/A,N/A,N/A,N/A,N/A,N/A
Alpha,Minunacovirus,17.43,17.66,6.54,7.29,3.71,39.84,-1.57,6.67,25.62,17.71,21.81,1.03,0.14,-3.32,8.43,-3.95,1.69,-4.84,N/A,N/A,N/A,N/A,N/A,N/A
Alpha,Myotacovirus,12,3.6,26.9,-1.33,4,-1.57,57,-1.67,-2.21,0.2,0,1.6,2.63,5.61,-6,-5.46,-2.14,10.79,N/A,N/A,N/A,N/A,N/A,N/A
Alpha,Nyctacovirus,7.33,8.27,0.87,-2.22,5.1,6.67,-1.67,22,10.79,9.4,3.22,3.67,-0.84,4.06,-8,-4.93,7.33,-4.96,N/A,N/A,N/A,N/A,N/A,N/A
Alpha,Pedacovirus,36.07,28.73,13.2,7.24,5.78,25.62,-2.21,10.79,49.95,38.23,22.52,-3.7,-3.05,3.48,-0.07,-12.16,16.79,-12.73,N/A,N/A,N/A,N/A,N/A,N/A
Alpha,Rhinacovirus,39,35.44,14.86,7.13,8,17.71,0.2,9.4,38.23,47.84,24.67,-1.84,-3.61,6.68,1.2,-10.97,23.57,-8.64,N/A,N/A,N/A,N/A,N/A,N/A
Alpha,Setracovirus,23,25.33,9.77,-0.56,4.76,21.81,0,3.22,22.52,24.67,32.67,-2.4,-0.84,-3.3,0.33,-11.4,3.14,-6.35,N/A,N/A,N/A,N/A,N/A,N/A
Alpha,Sunacovirus,-0.6,-1.68,0.58,-9.33,-1.2,1.03,1.6,3.67,-3.7,-1.84,-2.4,25.6,-0.76,0.26,1.8,9.13,0.86,-0.62,N/A,N/A,N/A,N/A,N/A,N/A
Alpha,Tegacovirus,-7,-6.55,10.81,4.51,9.29,0.14,2.63,-0.84,-3.05,-3.61,-0.84,-0.76,44.98,-14.8,2.74,3.67,6.59,-3.33,N/A,N/A,N/A,N/A,N/A,N/A
Beta,Embecovirus,9.09,7.7,-8.1,-9.62,-1.02,-3.32,5.61,4.06,3.48,6.68,-3.3,0.26,-14.8,47.23,-17.61,-7.24,8.73,-7.49,N/A,N/A,N/A,N/A,N/A,N/A
Beta,Hibecovirus,-1,-0.8,1.2,-6,-1.14,8.43,-6,-8,-0.07,1.2,0.33,1.8,2.74,-17.61,58,4.79,0.14,3.41,N/A,N/A,N/A,N/A,N/A,N/A
Beta,Merbecovirus,-11.71,-10.38,1.83,-0.72,0.06,-3.95,-5.46,-4.93,-12.16,-10.97,-11.4,9.13,3.67,-7.24,4.79,40.71,0.9,10.25,N/A,N/A,N/A,N/A,N/A,N/A
Beta,Nobecovirus,19.43,15.11,11.71,3.24,5.88,1.69,-2.14,7.33,16.79,23.57,3.14,0.86,6.59,8.73,0.14,0.9,46.04,-1.45,N/A,N/A,N/A,N/A,N/A,N/A
Beta,Sarbecovirus,2.88,2.75,11.44,-4.96,2.6,-4.84,10.79,-4.96,-12.73,-8.64,-6.35,-0.62,-3.33,-7.49,3.41,10.25,-1.45,42.1,N/A,N/A,N/A,N/A,N/A,N/A
Gamma,Brangacovirus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
